PDB	ChainID	Name	Type	Function	label_asym_id	Residue_seq_id
10TM	F, R	CLR	Lipid	Cofactor	E, F, G, H	R:401, R:402, F:401, F:402
1F88	A, B	ZN	Ion	Cofactor	J, K, P, Q	A:907, A:910, B:908, B:909
1F88	A, B	HG	Ion		G, H, I, M, N, O	A:901, A:903, A:905, B:902, B:904, B:906
1GZM	A, B	PLM	Lipid	Cofactor	H, I, T, U	A:1333, A:1334, B:1333, B:1334
1GZM	A, B	PEF	Other	Cofactor	J, X	A:1341, B:1342
1GZM	A, B	C8E	Other	Cofactor	AA, BA, CA, L, M, N, O, P, Q, V, W, Z	B:1345, B:1346, B:1347, A:1343, A:1344, A:1345, A:1346, A:1347, A:1348, B:1340, B:1341, B:1344
1GZM	A, B	ZN	Ion	Cofactor	EA, R	B:1349, A:1349
1GZM	A, B	LDA	Detergent		DA, K, Y	B:1348, A:1342, B:1343
1HZX	A, B	PLM	Lipid	Cofactor	HA, S, T	B:1322, A:1322, A:1323
1HZX	A, B	ZN	Ion	Cofactor	EA, FA, GA, O, P, Q, R	B:956, B:958, B:963, A:957, A:959, A:962, A:964
1HZX	A, B	BNG	Detergent		AA, G, H, I, J, K, Z	B:1506, A:1500, A:1501, A:1503, A:1504, A:1505, B:1502
1HZX	A, B	HG	Ion		BA, CA, DA, L, M, N	B:902, B:904, B:906, A:901, A:903, A:905
1L9H	A, B	PLM	Lipid	Cofactor	IA, KA, W, Y, Z	B:1407, B:1322, A:1410, A:1322, A:1323
1L9H	A, B	ZN	Ion	Cofactor	FA, GA, HA, O, P, Q, R	B:956, B:958, B:963, A:957, A:959, A:962, A:2011
1L9H	A, B	BNG	Detergent		AA, BA, G, H, I, J, K	B:1502, B:1506, A:1500, A:1501, A:1503, A:1504, A:1505
1L9H	A, B	HG	Ion		CA, DA, EA, L, M, N	B:902, B:904, B:906, A:901, A:903, A:905
1U19	A, B	PLM	Lipid	Cofactor	AA, CA, O, P, Q, Z	B:1323, B:1407, A:1322, A:1323, A:1410, B:1322
1U19	A, B	ZN	Ion	Cofactor	J, K, L, M, V, W, X	A:957, A:959, A:962, A:2011, B:956, B:958, B:963
1U19	A, B	HG	Ion		G, H, I, S, T, U	A:901, A:903, A:905, B:902, B:904, B:906
1U19	A, B	HTG	Detergent		DA, EA, FA, R	B:1506, B:1508, B:1509, A:1507
23SO	M, R	CLR	Lipid	Cofactor	H, I, J, K, L, N, O, P, Q, R	M:501, M:502, M:503, M:504, M:505, R:501, R:502, R:503, R:504, R:505
2G87	A, B	PLM	Lipid	Cofactor	AA, CA, O, P, Q, Z	B:1323, B:1407, A:1322, A:1323, A:1410, B:1322
2G87	A, B	ZN	Ion	Cofactor	J, K, L, M, V, W, X	A:957, A:959, A:962, A:2011, B:956, B:958, B:963
2G87	A, B	HTG	Detergent		DA, EA, FA, R	B:1506, B:1508, B:1509, A:1507
2G87	A, B	HG	Ion		G, H, I, S, T, U	A:901, A:903, A:905, B:902, B:904, B:906
2HPY	A, B	PLM	Lipid	Cofactor	AA, BA, DA, O, P, Q	B:1322, B:1323, B:1407, A:1322, A:1323, A:1410
2HPY	A, B	ZN	Ion	Cofactor	J, K, L, M, W, X, Y	A:957, A:959, A:962, A:2011, B:956, B:958, B:963
2HPY	A, B	HG	Ion		G, H, I, T, U, V	A:901, A:903, A:905, B:902, B:904, B:906
2HPY	A, B	HTG	Detergent		EA, FA, R, S	B:1506, B:1509, A:1507, A:1508
2I36	A	PLM	Lipid	Cofactor	J	A:401
