gene_symbol	taxon_id	entrez_gene_id	species_name
ACKR1	100784	104641185	Balearica regulorum gibbericeps
ACKR1	103695	110084977	Pogona vitticeps
ACKR1	103944	107298475	Protobothrops mucrosquamatus
ACKR1	109478	102258512	Myotis brandtii
ACKR1	110931	134384923	Cynocephalus volans
ACKR1	111821	141916584	Strix aluco
ACKR1	118200	128899606	Dryobates pubescens
ACKR1	118797	103089027	Lipotes vexillifer
ACKR1	121349	139155201	Erythrolamprus reginae
ACKR1	128390	104012576	Nipponia nippon
ACKR1	132908	105300758	Pteropus vampyrus
ACKR1	1330250	307205351	Podarcis cretensis
ACKR1	13616	100030135	Monodelphis domestica
ACKR1	13735	102444889	Pelodiscus sinensis
ACKR1	143281	140626935	Canis lupus baileyi
ACKR1	143291	120584307	Pteropus medius
ACKR1	143292	118930755	Manis pentadactyla
ACKR1	143302	101625805	Condylura cristata
ACKR1	1608482	121015539	Herpailurus yagouaroundi
ACKR1	1706337	112403588	Neophocaena asiaeorientalis asiaeorientalis
ACKR1	176946	103049111	Python bivittatus
ACKR1	185453	102830457	Chrysochloris asiatica
ACKR1	1868482	103266943	Carlito syrichta
ACKR1	186990	109377889	Hipposideros armiger
ACKR1	1884717	129062393	Pteronotus mesoamericanus
ACKR1	194338	113488652	Athene cunicularia
ACKR1	219594	116499574	Aythya fuligula
ACKR1	223781	115346644	Aquila chrysaetos chrysaetos
ACKR1	246437	102493406	Tupaia chinensis
ACKR1	2489341	115602677	Strigops habroptila
ACKR1	249018	136390924	Saccopteryx leptura
ACKR1	2587831	112107243	Terrapene triunguis
ACKR1	2715852	108286072	Cebus imitator
ACKR1	27606	133086749	Eubalaena glacialis
ACKR1	27610	132511848	Lagenorhynchus albirostris
ACKR1	27615	131764275	Kogia breviceps
ACKR1	27622	118637120	Molossus molossus
ACKR1	27675	119517005	Choloepus didactylus
ACKR1	28680	137845518	Anas acuta
ACKR1	29073	103672125	Ursus maritimus
ACKR1	29078	103297541	Eptesicus fuscus
ACKR1	29088	110573435	Neomonachus schauinslandi
ACKR1	291302	107541578	Miniopterus natalensis
ACKR1	29139	114026409	Vombatus ursinus
ACKR1	30419	142364895	Opisthocomus hoazin
ACKR1	30522	113884429	Bos indicus x Bos taurus
ACKR1	30532	133040563	Dama dama
ACKR1	30538	102539544	Vicugna pacos
ACKR1	30608	105864478	Microcebus murinus
ACKR1	30611	100958515	Otolemur garnettii
ACKR1	32536	106987149	Acinonyx jubatus
ACKR1	33562	122753400	Dromiciops gliroides
ACKR1	33587	142420700	Mycteria americana
ACKR1	336983	105522621	Colobus angolensis palliatus
ACKR1	34880	129515294	Nyctereutes procyonoides
ACKR1	34884	112814924	Callorhinus ursinus
ACKR1	34886	114199176	Eumetopias jubatus
ACKR1	36300	142595626	Pelecanus crispus
ACKR1	36723	116576053	Mustela erminea
ACKR1	37029	122476422	Prionailurus bengalensis
ACKR1	37032	115288491	Suricata suricatta
ACKR1	37040	132319956	Gavia stellata
ACKR1	37174	138433886	Ovis canadensis
ACKR1	37293	105715398	Aotus nancymaae
ACKR1	37610	306813864	Erithacus rubecula
ACKR1	379532	105824442	Propithecus coquereli
ACKR1	38626	110201857	Phascolarctos cinereus
ACKR1	38654	102372170	Alligator sinensis
ACKR1	40151	114899045	Monodon monoceros
ACKR1	419612	102504223	Camelus ferus
ACKR1	42254	101542518	Sorex araneus
ACKR1	44394	141725538	Zonotrichia albicollis
ACKR1	452646	122918336	Neogale vison
ACKR1	46218	140263594	Excalfactoria chinensis
ACKR1	481883	129339039	Eublepharis macularius
ACKR1	482537	103603021	Galeopterus variegatus
ACKR1	48427	137671069	Nyctibius grandis
ACKR1	48708	132484335	Mesoplodon densirostris
ACKR1	48850	143680021	Tamandua tetradactyla
ACKR1	494514	121471862	Vulpes lagopus
ACKR1	499056	131186864	Ahaetulla prasina
ACKR1	50402	104282685	Charadrius vociferus
ACKR1	51298	118673628	Myotis myotis
ACKR1	54180	117076020	Trachypithecus francoisi
ACKR1	55149	306654352	Sciurus vulgaris
ACKR1	55661	128849322	Cuculus canorus
ACKR1	56313	116964870	Tyto alba
ACKR1	59463	102437615	Myotis lucifugus
ACKR1	59479	117015167	Rhinolophus ferrumequinum
ACKR1	59482	136326171	Saccopteryx bilineata
ACKR1	59534	120855614	Oryx dammah
ACKR1	59729	115498419	Taeniopygia guttata
ACKR1	60711	103223763	Chlorocebus sabaeus
ACKR1	61383	115505255	Lynx canadensis
ACKR1	61621	108531889	Rhinopithecus bieti
ACKR1	61622	104657876	Rhinopithecus roxellana
ACKR1	61853	100579790	Nomascus leucogenys
ACKR1	64176	114586771	Podarcis muralis
ACKR1	68408	129541237	Moschus berezovskii
ACKR1	68724	144307292	Canis aureus
ACKR1	72004	102284292	Bos mutus
ACKR1	75485	128901097	Rissa tridactyla
ACKR1	76717	116859905	Lontra canadensis
ACKR1	77151	132025807	Mustela nigripes
ACKR1	80427	117039216	Lacerta agilis
ACKR1	82174	137219540	Pseudorca crassidens
ACKR1	8469	102947772	Chelonia mydas
ACKR1	8496	106737609	Alligator mississippiensis
ACKR1	8520	121915111	Sceloporus undulatus
ACKR1	8524	118075846	Zootoca vivipara
ACKR1	8790	112990040	Dromaius novaehollandiae
ACKR1	8801	104142897	Struthio camelus
ACKR1	88082	120314728	Crotalus tigris
ACKR1	8839	119713808	Anas platyrhynchos
ACKR1	884348	128337274	Hemicordylus capensis
ACKR1	8845	125181236	Anser cygnoides
ACKR1	8868	118261046	Cygnus atratus
ACKR1	8869	121060754	Cygnus olor
ACKR1	8884	118178139	Oxyura jamaicensis
ACKR1	8932	135576590	Columba livia
ACKR1	89399	109437559	Rhinolophus sinicus
ACKR1	89462	102405295	Bubalus bubalis
ACKR1	89673	114511856	Phyllostomus discolor
ACKR1	8969	138687333	Haliaeetus albicilla
ACKR1	8996	110387834	Numida meleagris
ACKR1	9031	101752245	Gallus gallus
ACKR1	9054	116240844	Phasianus colchicus
ACKR1	9103	109371028	Meleagris gallopavo
ACKR1	9157	107198846	Parus major
ACKR1	9209	135318018	Phalacrocorax carbo
ACKR1	9233	103900564	Aptenodytes forsteri
ACKR1	9234	143171017	Aptenodytes patagonicus
ACKR1	9238	103915239	Pygoscelis adeliae
ACKR1	9244	103530514	Calypte anna
ACKR1	9258	114808069	Ornithorhynchus anatinus
ACKR1	9261	119946974	Tachyglossus aculeatus
ACKR1	92651	141513381	Macrotis lagotis
ACKR1	9301	141539449	Sminthopsis crassicaudata
ACKR1	9305	100920730	Sarcophilus harrisii
